modificado,nombre,pagina,tipo,kb,link,disponible
,"BOLIVIA: POBLACIÓN POR CONDICIÓN DE NECESIDADES BÁSICAS INSATISFECHAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Pobreza y Desigualdad,,,https://nimbus.ine.gob.bo/index.php/s/Mrkr4Tj27PSRLfb/download,False
,GLOSARIO Y FICHA TÉCNICA,Mortalidad,,,https://nimbus.ine.gob.bo/index.php/s/MzwHxzcLk5seQsJ/download,False
,BOLETÍN ESTADÍSTICO COMEX JULIO 2025,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/NBFLidzqc5oNwsi/download,True
,"BOLIVIA: IDIOMAS HABLADOS(1) POR LA POBLACIÓN DE 6 O MÁS AÑOS DE EDAD INDEPENDIENTEMENTE DEL ORDEN DE SU USO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Idiomas,,,https://nimbus.ine.gob.bo/index.php/s/NNt7M5NeLyY2MwD/download,False
,BOLETÍN ESTADÍSTICO COMEX DICIEMBRE 2025,Saldo Comercial,,,https://nimbus.ine.gob.bo/index.php/s/NSX4fegj2zmAAec/download,True
,"SALARIOS, REMUNERACIONES Y EMPLEO DEL SECTOR PÚBLICO 2014 – 2021","Salarios, Remuneraciones y Empleo Sector Público",,,https://nimbus.ine.gob.bo/index.php/s/NfXFwzJLoz9ko67/download,False
,GLOSARIO Y FICHA TÉCNICA,Movilidad Cotidiana para Trabajar,,,https://nimbus.ine.gob.bo/index.php/s/NgdtQna57qnGots/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Servicios Básicos,,,https://nimbus.ine.gob.bo/index.php/s/NxdmCNeGCEP86y9/download,False
,"BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1)",Mortalidad,,,https://nimbus.ine.gob.bo/index.php/s/P38zZ8edLdwQtbB/download,False
,BOLETÍN ESTADÍSTICO PRECIOS INTERNACIONALES JULIO DE 2026,Precios Internacionales,,,https://nimbus.ine.gob.bo/index.php/s/PDwfGittZTyynQj/download,True
,"BOLIVIA: PRODUCTO INTERNO BRUTO A PRECIOS CORRIENTES POR ACTIVIDAD ECONÓMICA, 1988 – 2024",Introducción,,,https://nimbus.ine.gob.bo/index.php/s/PFL8sE6igKaZBNC/download,False
